Depth,NITRITE,NITRATE+NITRITE,AMMONIA,SILICATE,PHOSPHATE
10,0.1,6.52,0.03,3.61,0.52
20,0.11,6.41,0.05,3.63,0.54
30,0.11,6.47,0.03,3.6,0.53
40,0.11,6.49,0.21,3.58,0.53
60,0.11,6.41,0.02,3.59,0.53
0,0.09,6.44,0.04,3.35,0.47
10,0.09,6.47,0.13,3.34,0.51
20,0.08,6.45,0.2,3.33,0.53
40,0.09,6.59,0.09,3.34,0.54
60,0.08,6.44,0.1,3.3,0.54
0,0.08,6.55,0.06,3.29,0.54
10,0.08,6.53,0.14,3.29,0.54
20,0.06,6.48,0.23,3.29,0.55
40,0.07,6.57,0.14,3.28,0.55
60,0.06,6.48,0.09,3.3,0.55
0,0.23,6.37,0.12,3.34,0.53
10,0.14,6.99,0.12,3.34,0.53
20,0.15,6.8,0.27,3.33,0.54
30,0.15,6.8,0.21,3.36,0.56
40,0.2,6.75,0.25,3.44,0.64
60,0.17,6.43,0.21,3.37,0.56
0,0.14,6.43,0.08,3.32,0.56
10,0.14,6.57,0.09,3.34,0.56
20,0.14,7.01,0.21,3.32,0.57
30,0.13,6.52,0.13,3.33,0.57
40,0.13,8.05,0.18,3.35,0.57
60,0.15,6.63,0.17,3.36,0.57
0,0.18,6.45,0.34,3.03,0.47
10,0.18,7.12,0.21,3.15,0.5
20,0.19,6.52,0.21,2.99,0.5
30,0.2,6.42,0.07,2.98,0.47
40,0.21,6.57,0.15,2.9,0.51
60,0.26,6.98,0.26,2.99,0.53
0,0.18,6.92,0,3.13,0.42
10,0.16,6.31,0.12,2.97,0.47
20,0.16,6.48,0.12,2.98,0.49
30,0.18,6.53,0.11,2.99,0.48
40,0.21,6.47,0.2,3,0.51
60,0.27,7.49,0,3.1,0.48
0,0.18,6.43,0,2.81,0.45
10,0.23,6.46,0,2.87,0.52
20,0.19,6.52,0.06,2.85,0.51
30,0.2,6.53,0.04,2.85,0.51
40,0.19,6.45,0.06,2.86,0.51
0,0.2,6.51,0,2.82,0.46
10,0.22,6.75,0.09,2.84,0.5
20,0.19,6.67,0,2.81,0.5
30,0.2,6.54,0.05,2.8,0.51
40,0.19,6.59,0.1,2.8,0.51
0,0.23,5.76,0,2.51,0.44
10,0.25,5.93,0,2.41,0.46
20,0.25,5.94,0.05,2.33,0.48
30,0.25,5.92,0,2.28,0.49
40,0.25,5.92,0,2.28,0.48
60,0.25,5.99,0.05,2.22,0.49
0,0.23,5.89,0,2.36,0.47
10,0.23,5.93,0,2.36,0.47
20,0.29,6.07,0,2.32,0.5
30,0.26,5.92,0,2.27,0.57
40,0.25,5.92,0,2.31,0.49
60,0.26,5.98,0,2.25,0.49
0,0.06,0.15,0.41,0.08,0.1
10,0.02,0.1,0.41,0.06,0.14
20,0.07,0.58,1.52,0.36,0.27
30,0.1,0.85,2.22,0.45,0.33
40,0.1,0.86,2.17,0.47,0.35
60,0.1,0.97,2.16,0.47,0.39
0,0.1,0.31,0.33,0.05,0.17
10,0.02,0.85,0.46,0.04,0.17
20,0.06,0.61,1.52,0.31,0.28
30,0.08,1.05,2.19,0.4,0.34
40,0.07,0.92,2.14,0.39,0.34
60,0.08,0.89,2.12,0.4,0.34
0,0,0,4.17,0.17,0.11
10,0,0,0.64,0.15,0.11
20,0,0,0.52,0.15,0.11
30,0,0,0.36,0.15,0.09
40,0,0,0.86,0.79,0.22
60,0,0,1.4,0.85,0.31
0,0,0,0.24,0.13,0.1
10,0,0,0.24,0.13,0.09
20,0,0,0.29,0.15,0.11
30,0,0,0.22,0.14,0.11
40,0,0,0.52,0.84,0.23
60,0,0,0.78,0.86,0.28
0,0.03,0.05,0.45,1.19,0.04
10,0.02,0.03,0.33,1.16,0.04
20,0.09,0.7,1.86,1.86,0.15
30,0.08,0.94,2.52,1.93,0.22
40,0.13,0.15,0.29,1.6,0.24
60,0.09,0.93,2.44,1.93,0.24
0,0.01,0.02,0.23,1.16,0.08
10,0.02,0.03,0.21,1.14,0.06
20,0.07,0.71,1.83,1.88,0.16
30,0.07,0.93,2.44,1.9,0.22
40,0.11,0.14,0.24,1.61,0.26
60,0.06,0.94,2.44,1.99,0.51
0,0.03,0.06,0,0.85,0.11
30,0,0,0,2.3,0.09
40,0,0,0,2.9,0.07
60,0,0,0,2.9,0.08
0,0,0,0,0.88,0.03
10,0,0,0,0.89,0.02
20,0,0,0,1.03,0.03
30,0,0,0,2.32,0.03
40,0,0,0,2.95,0.03
60,0,0,0,2.92,0.05
0,0,0.03,0.24,0.92,0.01
10,0,0.05,0.26,0.9,0.01
20,1.28,2.16,1.68,3.82,0.23
30,1.29,2.18,1.82,3.84,0.23
40,1.3,2.19,1.7,3.82,0.24
60,1.26,2.15,1.86,3.87,0.25
0,0,0.06,0.38,0.83,0.03
10,0,0.05,0.4,0.87,0.03
20,1.28,2.13,1.74,3.78,0.23
30,1.29,2.18,1.81,3.81,0.24
40,1.3,2.18,1.75,3.81,0.25
60,1.26,2.25,2.25,3.84,0.29
0,0,0.04,0.51,1.75,0.04
10,0,0.06,0.49,1.71,0.05
20,0.01,0.12,0.51,1.71,0.06
30,0.32,4.16,0.4,1.71,0.36
40,0.14,4.83,0.46,1.82,0.31
60,0.08,5.01,0.36,1.72,0.34
0,0,0.06,0.43,1.64,0.08
10,0.02,0.09,0.41,1.65,0.06
20,0.03,0.13,0.44,1.77,0.06
30,0.33,4.28,0.37,2.68,0.27
40,0.13,4.92,0.35,2.99,0.31
60,0.07,5,0.38,3.44,0.34
10,0.2,4.76,0.1,1.03,0.41
20,0.19,4.9,0.18,0.95,0.37
40,0.22,5,0.17,0.96,0.38
60,0.24,5.28,0.37,1,0.37
0,0.21,4.94,0.06,1,0.34
10,0.22,5.02,0.11,0.99,0.36
20,0.22,5.03,0.21,0.98,0.39
30,0.22,5.03,0.21,0.97,0.36
40,0.22,5.08,0.16,0.97,0.37
60,0.22,5.05,0.31,0.97,0.36
0,0.01,0.02,0.37,0.08,0.04
10,0.01,0.02,0.24,0.09,0.04
20,0.02,0.06,0.19,0.11,0.06
30,0.17,3.33,0.67,0.33,0.27
40,0.21,3.99,0.8,0.4,0.34
60,0.2,3.92,0.72,0.4,0.33
0,0.01,0.02,0.05,0.09,0.04
10,0.01,0,0.04,0.09,0.05
20,0.02,0.03,0.06,0.08,0.07
40,0.21,3.94,0.65,0.39,0.36
60,0.2,3.94,0.7,0.39,0.38
0,0.04,0.49,0.72,0.2,0.12
10,0.04,0.52,0.61,0.21,0.12
20,0.08,1.26,1.23,0.32,0.21
30,0.1,1.64,1.58,0.4,0.27
40,0.1,1.64,1.59,0.39,0.28
60,0.1,1.69,1.86,0.39,0.31
0,0.04,0.47,0.48,0.26,0.09
10,0.04,0.5,0.52,0.23,0.1
20,0.07,1.25,1.21,0.34,0.28
30,0.11,1.64,1.45,0.39,0.27
40,0.1,1.63,1.44,0.39,0.27
60,0.1,1.66,1.55,0.4,0.3
0,0,0,0,0.12,0.05
10,0,0,0,0.16,0.01
20,0,0.03,0,0.3,0.06
30,0.05,0.63,1.17,1.37,0.2
40,0.07,0.79,1.55,1.44,0.22
60,0.07,0.91,1.65,1.61,0.26
0,0,0,0,0.25,0.05
10,0,0,0,0.23,0.07
20,0,0,0,0.3,0.07
30,0.06,0.72,1.34,1.41,0.22
40,0.08,1.01,1.76,1.7,0.27
60,0.07,0.93,1.53,1.6,0.26
0,0.02,0.04,0.25,0.46,0.07
10,0.01,0.05,0.24,0.49,0.05
20,0.03,0.07,0.17,0.66,0.05
30,0.15,1.47,1.11,1.98,0.17
40,0.36,2.95,2.19,2.54,0.33
60,0.24,2.45,2.64,2.88,0.35
0,0.02,0.04,0.21,0.52,0.06
10,0.02,0.04,0.19,0.54,0.04
20,0.03,0.06,0.05,0.66,0.05
30,0.15,1.5,0.82,1.84,0.16
40,0.36,2.96,1.92,2.54,0.32
60,0.24,2.46,2.49,2.86,0.36
0,0.02,0.08,0.38,0.17,0.04
10,0.01,0.06,0.52,0.17,0.06
20,0.02,0.09,0.57,0.36,0.06
30,0.94,3.03,1.7,2.93,0.26
60,1.01,3.27,1.79,3.02,0.29
0,0.02,0.05,0.18,0.34,0.03
10,0.01,0.05,0.24,0.33,0.03
20,0.01,0.06,0.3,0.38,0.03
30,0.95,3.04,1.49,2.95,0.25
40,0.98,3.21,1.72,2.97,0.27
60,1.03,3.27,1.61,3.05,0.28
0,0.01,0.3,0.22,0.63,0.07
10,0.02,0.1,0.14,0.56,0.04
20,0.02,0.14,0.35,0.4,0.07
30,0.15,3.06,0.21,1.68,0.16
40,0.55,4.14,0,2.29,0.25
60,1.96,4.39,0,2.53,0.25
0,0,0.11,0,0.66,0.05
10,0,0.08,0,0.61,0.04
20,0.01,0.12,0.14,0.45,0.05
30,0.15,3.04,0,1.7,0.15
40,0.54,4.15,0,2.29,0.24
60,1.96,4.38,0,2.57,0.25
0,0.01,0.02,0.52,1.19,0.06
10,0.02,0.32,0.65,1.14,0.06
20,0.02,3.1,0.27,2.55,0.19
30,0.08,3.72,0.55,3.3,0.25
40,0.05,4.08,0.4,2.82,0.26
60,0.05,4.59,0.41,3.09,0.27
0,0.02,0.04,0.37,1.18,0.05
10,0,0,0.41,1.19,0.03
20,0,0,0.34,1.55,0.03
30,0.19,3.71,0.29,2.93,0.23
40,0.17,3.95,0.25,2.95,0.23
60,0.19,4.52,0.18,3.15,0.27
0,0.03,0.04,0.45,1.2,0.05
10,0.03,0.04,0.52,1.18,0.04
20,0,0,1.67,1.53,0.06
30,0.19,3.83,1.45,2.88,0.23
40,0.17,4.14,1.49,2.98,0.23
60,0.19,4.66,1.46,3.14,0.27
